id,senato
24G00209,"[""Senato della Repubblica (atto n. 1272): Presentato dal Presidente del Consiglio dei ministri Giorgia Meloni, dal Ministro dell'ambiente e sicurezza energetica Gilberto Pichetto Fratin (Governo Meloni-I), il 17 ottobre 2024."", ""Assegnato alla 8ª Commissione permanente (Ambiente, transizione ecologica, energia, lavori pubblici, comunicazioni, innovazione tecnologica), in sede referente, il 22 ottobre 2024, con i pareri delle Commissioni 1ª (Affari costituzionali, affari della Presidenza del Consiglio e dell'Interno, ordinamento generale dello Stato e della Pubblica amministrazione, editoria, digitalizzazione), 3ª (Affari esteri e difesa), 4ª (Politiche dell'Unione europea), 5ª (Programmazione economica, bilancio), 7ª (Cultura e patrimonio culturale, istruzione pubblica, ricerca scientifica, spettacolo e sport), Questioni regionali e del Comitato per la legislazione."", 'Esaminato dalla Commissione 8ª (Ambiente, transizione ecologica, energia, lavori pubblici, comunicazioni, innovazione tecnologica), in sede referente, il 29 ottobre 2024; il 5, il 12, il 19, il 26 e il 28 novembre 2024; il 3 e il 4 dicembre 2024.', 'Esaminato in Aula il 4 dicembre 2024 e approvato il 5 dicembre 2024.']"
24G00208,"[""Senato della Repubblica (atto n. 1274): Presentato dal Presidente del Consiglio Giorgia Meloni e dal Ministro dell'Economia e delle Finanze Giancarlo Giorgetti (Governo Meloni-I), il 19 ottobre 2024."", ""Assegnato alla 5ª Commissione (Programmazione economica, bilancio), in sede referente, il 22 ottobre 2024, con i pareri del Comitato per la legislazione e delle Commissioni 1ª (Affari costituzionali, affari della Presidenza del Consiglio e dell'Interno, ordinamento generale dello Stato e della Pubblica Amministrazione, editoria, digitalizzazione), 3ª (Affari esteri e difesa), 4ª (Politiche dell'Unione europea), 6ª (Finanze e tesoro), 7ª (Cultura e patrimonio culturale, istruzione pubblica, ricerca scientifica, spettacolo e sport), 8ª (Ambiente, transizione ecologica, energia, lavori pubblici, comunicazioni, innovazione tecnologica), 10ª (Affari sociali, sanità, lavoro pubblico e privato, previdenza sociale) e per le Questioni regionali."", ""Esaminato dalla 5ª Commissione permanente (Programmazione economica, bilancio), in sede referente, il 29 e il 30 ottobre 2024; il 5, il 7, l'11, il 12, il 19, il 20, il 21, il 25, il 26 e il 27 novembre 2024; Esaminato in Aula e approvato il 28 novembre 2024.""]"
24G00207,"[""Senato della Repubblica (atto n. 1210): Assegnato alla 3ª Commissione (Affari esteri e difesa), in sede redigente, il 6 agosto 2024, con i pareri delle Commissioni 1ª (Affari costituzionali, affari della Presidenza del Consiglio e dell'Interno, ordinamento generale dello Stato e della Pubblica Amministrazione, editoria, digitalizzazione), 5ª (Programmazione economica, bilancio) e 10ª (Affari sociali, sanità, lavoro pubblico e privato, previdenza sociale)."", 'Esaminato dalla 3ª Commissione (Affari esteri e difesa), in sede redigente, il 24 settembre 2024 e il 2 ottobre 2024.', 'Esaminato in Aula ed approvato definitivamente il 21 novembre 2024.']"
24G00206,"[""Senato della Repubblica (atto n. 1310): Assegnato alla 1ª Commissione permanente (Affari costituzionali, affari della Presidenza del Consiglio e dell'Interno, ordinamento generale dello Stato e della Pubblica amministrazione, editoria, digitalizzazione), in sede referente, il 27 novembre 2024, con i pareri del Comitato per la legislazione e delle Commissioni 2ª (Giustizia), 3ª (Affari esteri e difesa), 4ª (Politiche dell'Unione europea), 5ª (Programmazione economica e bilancio), 7ª (Cultura e patrimonio culturale, istruzione pubblica, ricerca scientifica, spettacolo e sport), 8ª (Ambiente, transizione ecologica, energia, lavori pubblici, comunicazioni, innovazione tecnologica), 9ª (Industria, commercio, turismo, agricoltura e produzione agroalimentare), 10ª (Affari sociali, sanità, lavoro pubblico e privato, previdenza sociale) e per le Questioni regionali."", ""Esaminato dalla Commissione 1ª (Affari costituzionali, affari della Presidenza del Consiglio e dell'Interno, ordinamento generale dello Stato e della Pubblica amministrazione, editoria, digitalizzazione), in sede referente, il 28 novembre 2024 e il 3 dicembre 2024."", 'Esaminato in Aula il 3 dicembre 2024 e approvato il 4 dicembre 2024.']"
24G00201,"['Senato della Repubblica (atto n. 1225): Presentato dal Ministro degli Affari esteri e della cooperazione internazionale Antonio Tajani e dal Ministro della Difesa Guido Crosetto (Governo Meloni-I), il 9 settembre 2024.', ""Assegnato alla Commissione 3ª (Affari esteri e difesa), in sede referente il 19 settembre 2024, con i pareri delle Commissioni 1ª (Affari costituzionali, affari della Presidenza del Consiglio e dell'Interno, ordinamento generale dello Stato e della Pubblica Amministrazione, editoria, digitalizzazione), 2ª (Giustizia), 4ª (Politiche dell'Unione europea), 5ª (Programmazione economica, bilancio), 6ª (Finanze e tesoro), 7ª (Cultura e patrimonio culturale, istruzione pubblica, ricerca scientifica, spettacolo e sport), 8ª (Ambiente, transizione ecologica, energia, lavori pubblici, comunicazioni, innovazione tecnologica), 9ª (Industria, commercio, turismo, agricoltura e produzione agroalimentare) e 10ª (Affari sociali, sanità, lavoro pubblico e privato, previdenza sociale)."", 'Esaminato dalla Commissione 3ª (Affari esteri e difesa), in sede referente, il 2 e il 16 ottobre 2024.', 'Esaminato in Aula ed approvato il 16 ottobre 2024.']"
24G00200,"['Senato della Repubblica (atto n. 1042): Presentato dal Ministro degli Affari esteri e della cooperazione internazionale Antonio Tajani (Governo Meloni-I), il 28 febbraio 2024.', ""Assegnato alla Commissione 3ª (Affari esteri e difesa), in sede referente il 6 marzo 2024, con i pareri delle Commissioni 1ª (Affari costituzionali, affari della Presidenza del Consiglio e dell'Interno, ordinamento generale dello Stato e della Pubblica Amministrazione, editoria, digitalizzazione), 2ª (Giustizia), 4ª (Politiche dell'Unione europea), 5ª (Programmazione economica, bilancio), 6ª (Finanze e tesoro), 8ª (Ambiente, transizione ecologica, energia, lavori pubblici, comunicazioni, innovazione tecnologica), 9ª (Industria, commercio, turismo, agricoltura e produzione agroalimentare) e 10ª ( Affari sociali, sanità, lavoro pubblico e privato, previdenza sociale)."", 'Esaminato dalla Commissione 3ª (Affari esteri e difesa), in sede referente, il 19 marzo 2024 ed il 9 aprile 2024.', 'Esaminato in Aula ed approvato il 30 aprile 2024.']"
24G00198,"['Senato della Repubblica (atto n. 1127): Presentato dal Ministro degli affari esteri e della cooperazione internazionale Antonio Tajani (Governo Meloni-I), il 3 maggio 2024.', ""Assegnato alla Commissione 3ª (Affari esteri e difesa), in sede referente il 14 maggio 2024, con i pareri delle Commissioni 1ª (Affari costituzionali, affari della Presidenza del Consiglio e dell'interno, ordinamento generale dello Stato e della pubblica amministrazione, editoria, digitalizzazione), 2ª (Giustizia), 4ª (Politiche dell'Unione europea), 5ª (Programmazione economica, bilancio) e 6ª (Finanze e tesoro)."", ""Esaminato dalla Commissione 3ª (Affari esteri e difesa), in sede referente, il 21 maggio 2024 e l'11 giugno 2024."", ""Esaminato in aula ed approvato l'11 settembre 2024.""]"
24G00199,"[""Senato della Repubblica (atto n. 1086): Assegnato alla 8ª Commissione (Ambiente, transizione ecologica, energia, lavori pubblici, comunicazioni, innovazione tecnologica), in sede referente, il 9 aprile 2024, con i pareri delle Commissioni 1ª (Affari costituzionali, affari della Presidenza del Consiglio e dell'Interno, ordinamento generale dello Stato e della Pubblica Amministrazione, editoria, digitalizzazione), 2ª (Giustizia), 3ª (Affari esteri e difesa), 4ª (Politiche dell'Unione europea), 5ª (Programmazione economica, bilancio) 6ª (Finanze e tesoro), 7ª (Cultura e patrimonio culturale, istruzione pubblica, ricerca scientifica, spettacolo e sport), 9ª (Industria, commercio, turismo, agricoltura e produzione agroalimentare), 10ª (Affari sociali, sanità, lavoro pubblico e privato, previdenza sociale) e per le Questioni regionali."", ""Esaminato dalla 8ª Commissione (Ambiente, transizione ecologica, energia, lavori pubblici, comunicazioni, innovazione tecnologica), in sede referente, il 17 aprile 2024, il 3 e il 17 luglio 2024, l'11 e il 24 settembre 2024, l'8, il 9, il 16 e il 22 ottobre 2024."", 'Esaminato in Aula il 19 novembre 2024 e approvato definitivamente il 20 novembre 2024.']"
24G00194,"[""Senato della Repubblica (atto n. 1175): Assegnato alla 10ª Commissione (Affari sociali, sanità, lavoro pubblico e privato, previdenza sociale), in sede redigente, il 3 luglio 2024, con i pareri delle Commissioni 1ª (Affari costituzionali, affari della Presidenza del Consiglio e dell'Interno, ordinamento generale dello Stato e della pubblica amministrazione, editoria, digitalizzazione), 3ª (Affari esteri e difesa) e 5ª (Programmazione economica, bilancio)."", 'Esaminato dalla 10ª Commissione (Affari sociali, sanità, lavoro pubblico e privato, previdenza sociale), in sede redigente, il 24 settembre 2024 e il 22 ottobre 2024.', 'Esaminato in Aula e approvato definitivamente il 6 novembre 2024.']"
24G00190,"['Senato della Repubblica (atto n. 1256): Presentato dal Presidente del Consiglio Giorgia Meloni, dal Ministro della salute Orazio Schillaci e dal Ministro della giustizia Carlo Nordio (Governo Meloni-I), il 1 ottobre 2024.', ""Assegnato alla 2ª Commissione (Giustizia), in sede referente, il 2 ottobre 2024, con i pareri del Comitato per la legislazione e delle Commissioni 1ª Commissione (Affari costituzionali, affari della Presidenza del Consiglio e dell'Interno, ordinamento generale dello Stato e della Pubblica Amministrazione, editoria, digitalizzazione), 5ª Commissione (Programmazione economica, bilancio) e 10ª (Affari sociali, sanità, lavoro pubblico e privato, previdenza sociale)."", 'Esaminato dalla 2ª Commissione (Giustizia), in sede referente, il 9, il 22 e il 29 ottobre 2024.', 'Esaminato in Aula e approvato il 5 novembre 2024.']"
24G00186,"[""Senato della Repubblica (atto n. 1178): Assegnato alla Commissione 1ª (Affari costituzionali, affari della Presidenza del Consiglio e dell'Interno, ordinamento generale dello Stato e della Pubblica Amministrazione, editoria, digitalizzazione), in sede redigente, il 4 luglio 2024, con i pareri delle Commissioni 5ª (Programmazione economica, bilancio), 7ª (Cultura e patrimonio culturale, istruzione pubblica, ricerca scientifica, spettacolo e sport), 8ª (Ambiente, transizione ecologica, energia, lavori pubblici, comunicazioni, innovazione tecnologica) e 10ª Commissione (Affari sociali, sanità, lavoro pubblico e privato, previdenza sociale) e per le Questioni regionali."", ""Esaminato dalla Commissione 1ª (Affari costituzionali, affari della Presidenza del Consiglio e dell'Interno, ordinamento generale dello Stato e della Pubblica Amministrazione, editoria, digitalizzazione), in sede redigente, il 18 settembre, il 24 e il 25 settembre 2024."", 'Esaminato in Aula e approvato definitivamente il 31 ottobre 2024.']"
24G00187,"[""Senato della Repubblica (atto n. 824): Assegnato alla 2ª Commissione (Giustizia), in sede redigente, il 2 agosto 2023, con i pareri delle Commissioni 1ª (Affari costituzionali, affari della Presidenza del Consiglio e dell'Interno, ordinamento generale dello Stato e della Pubblica Amministrazione, editoria, digitalizzazione), 5ª (Programmazione economica, bilancio) e 10ª (Affari sociali, sanità, lavoro pubblico e privato, previdenza sociale)."", ""Nuovamente assegnato alla 2ª Commissione (Giustizia), in sede referente, il 6 marzo 2024, con i pareri delle Commissioni 1ª (Affari costituzionali, affari della Presidenza del Consiglio e dell'Interno, ordinamento generale dello Stato e della Pubblica Amministrazione, editoria, digitalizzazione), 5ª (Programmazione economica, bilancio) e 10ª (Affari sociali, sanità, lavoro pubblico e privato, previdenza sociale)."", ""Esaminato dalla 2ª Commissione (Giustizia), in sede referente, il 12 marzo 2024, il 28 maggio 2024, l'11 e il 25 giugno 2024, il 2 e il 3 luglio 2024."", 'Esaminato in Aula e approvato definitivamente il 16 ottobre 2024.']"
24G00185,"['Senato della Repubblica (atto n. 1020): Presentato dal Ministro degli affari esteri e della cooperazione internazionale Antonio Tajani e dal Ministro della difesa Guido Crosetto (Governo Meloni-I), il 9 febbraio 2024.', ""Assegnato alla 3ª Commissione (Affari esteri e difesa), in sede referente, il 28 febbraio 2024, con i pareri delle Commissioni 1ª (Affari costituzionali, affari della Presidenza del Consiglio e dell'Interno, ordinamento generale dello Stato e della Pubblica amministrazione, editoria, digitalizzazione), 2ª (Giustizia) 5ª (Programmazione economica, bilancio)."", ""Esaminato dalla Commissione 3ª (Affari esteri e difesa), in sede referente, il 12 marzo 2024; il 14 e il 21 maggio 2024; l'11 e il 18 giugno 2024; il 2 luglio 2024."", 'Esaminato in Aula e approvato il 17 settembre 2024.']"
24G00184,"[""Senato della Repubblica (atto n. 1287): Assegnato alla 4ª Commissione (Politiche dell'Unione europea), in sede referente il 31 ottobre 2024, con i pareri del Comitato legislazione e delle Commissioni 1ª (Affari costituzionali, affari della Presidenza del Consiglio e dell'interno, ordinamento generale dello Stato e della pubblica amministrazione, editoria, digitalizzazione), 2ª (giustizia), 3ª (Affari esteri e difesa), 5ª (Programmazione economica, bilancio), 6ª (Finanze e tesoro), 7ª (Cultura e patrimonio culturale, istruzione pubblica, ricerca scientifica, spettacolo e sport), 8ª (Ambiente, transizione ecologica, energia, lavori pubblici, comunicazioni, innovazione tecnologica), 9ª (Industria, commercio, turismo, agricoltura e produzione agroalimentare), 10ª (Affari sociali, sanità, lavoro pubblico e privato, previdenza sociale) e per le Questioni regionali."", ""Esaminato dalla 4ª Commissione (Politiche dell'Unione europea), in sede referente, il 4 e il 5 novembre 2024."", 'Esaminato in Aula e approvato definitivamente il 6 novembre 2024.']"
24G00181,"['Senato della Repubblica (atto n. 1021): Presentato dal Presidente del Consiglio Giorgia Meloni e dal Ministro della Cultura Gennaro Sangiuliano (Governo Meloni-I), il 9 febbraio 2024.', ""Assegnato alla 7ª Commissione (Cultura e patrimonio culturale, istruzione pubblica, ricerca scientifica, spettacolo e sport), in sede redigente, il 21 febbraio 2024, con i pareri delle commissioni 1ª (Affari costituzionali, affari della Presidenza del Consiglio e dell'Interno, ordinamento generale dello Stato e della Pubblica Amministrazione, editoria, digitalizzazione), 2ª (Giustizia), 5ª (Programmazione economica, Bilancio) e per le Questioni regionali."", ""Esaminato dalla Commissione 7ª (Cultura e patrimonio culturale, istruzione pubblica, ricerca scientifica, spettacolo e sport), in sede redigente, il 9 e il 23 aprile 2024; il 7, l'8 e il 15 maggio 2024."", ""Nuovamente assegnato alla 7ª Commissione permanente (Cultura e patrimonio culturale, istruzione pubblica, ricerca scientifica, spettacolo e sport), in sede deliberante, il 25 giugno 2024, con i pareri delle Commissioni 1ª (Affari costituzionali, affari della Presidenza del Consiglio e dell'Interno, ordinamento generale dello Stato e della Pubblica Amministrazione, editoria, digitalizzazione), 2ª (Giustizia), 5ª (Programmazione economica, Bilancio) e per le Questioni regionali."", 'Esaminato dalla Commissione 7ª (Cultura e patrimonio culturale, istruzione pubblica, ricerca scientifica, spettacolo e sport), in sede deliberante, il 3 luglio 2024 e approvato il 16 luglio 2024.']"
24G00182,"['Senato della Repubblica (atto n. 1230): Presentato dal Ministro degli Affari Esteri e della Cooperazione Internazionale Antonio Tajani (Governo Meloni-I), il 16 settembre 2024.', ""Assegnato alla 3ª Commissione permanente (Affari esteri e difesa) in sede referente, il 24 settembre 2024, con i pareri delle commissioni 1ª (Affari costituzionali, affari della Presidenza del Consiglio e dell'Interno, ordinamento generale dello Stato e della Pubblica Amministrazione, editoria, digitalizzazione), 2ª (Giustizia), 4ª (Politiche dell'Unione europea), 5ª (Programmazione economica, bilancio), 6ª (Finanze e tesoro) e 8ª (Ambiente, transizione ecologica, energia, lavori pubblici, comunicazioni, innovazione tecnologica)."", 'Esaminato dalla Commissione 3ª (Affari esteri e difesa), in sede referente, il 2 e il 10 ottobre 2024.', 'Esaminato in Aula e approvato il 16 ottobre 2024.']"
24G00180,"[""Senato della Repubblica (atto n. 816): Assegnato alla 6ª Commissione (Finanze), in sede redigente, il 27 luglio 2023, con i pareri delle Commissioni 1ª (Affari costituzionali, affari della Presidenza del Consiglio e dell'Interno, ordinamento generale dello Stato e della Pubblica Amministrazione, editoria, digitalizzazione), 2ª (Giustizia), 4ª (Politiche dell'Unione europea), 5ª (Programmazione economica, bilancio) e 9ª (Industria, commercio, turismo, agricoltura e produzione agroalimentare)."", ""Esaminato dalla Commissione 6ª Commissione (Finanze), in sede redigente, il 24 e il 31 gennaio 2024; l'8 e il 14 febbraio 2024; il 12, il 13, il 19, il 21 e il 26 marzo 2024; il 3 aprile 2024; il 12, il 13 e il 27 giugno 2024; il 10, il 17 e il 18 luglio 2024."", 'Esaminato in Aula, con modificazioni, il 18 settembre 2024.', ""Camera dei deputati (atto n. 107-B): Assegnato alla Commissione VI (Finanze), in sede referente, il 20 settembre 2024, con i pareri delle Commissioni I (Affari Costituzionali, della Presidenza del consiglio e interni), V (Bilancio, Tesoro e Programmazione), VII (Cultura, scienza e istruzione), X (Attività produttive, commercio e turismo) e XIV (Politiche dell'Unione europea)."", ""Esaminato dalla Commissione VI (Finanze), in sede referente, il 1°, l'8 e il 9 ottobre 2024."", 'Esaminato in Aula il 14 ottobre 2024 e approvato definitivamente il 23 ottobre 2024.']"
24G00173,"['Senato della Repubblica (atto n. 563): Presentato dal Ministro degli Affari esteri e della cooperazione internazionale Antonio Tajani (Governo Meloni-I), il 23 febbraio 2023.', ""Assegnato alla Commissione 3ª (Affari esteri e difesa), in sede referente, il 3 marzo 2023, con i pareri delle Commissioni 1ª (Affari costituzionali, affari della Presidenza del Consiglio e dell'Interno, ordinamento generale dello Stato e della Pubblica Amministrazione, editoria, digitalizzazione), 2ª (Giustizia), 5ª (Programmazione economica, bilancio), 7ª (Cultura e patrimonio culturale, istruzione pubblica, ricerca scientifica, spettacolo e sport) e 9ª (Industria, commercio, turismo, agricoltura e produzione agroalimentare)."", 'Esaminato dalla Commissione 3ª (Affari esteri e difesa), in sede referente, il 14 marzo 2023 e il 4 aprile 2023.', 'Esaminato e approvato il 9 maggio 2023.']"
24G00169,"[""Senato della Repubblica (atto n. 1038): Assegnato alla Commissione 7ª (Cultura e patrimonio culturale, istruzione pubblica, ricerca scientifica, spettacolo e sport), in sede referente, il 28 febbraio 2024, con i pareri delle Commissioni 1ª (Affari costituzionali, affari della Presidenza del Consiglio e dell'Interno, ordinamento generale dello Stato e della Pubblica Amministrazione, editoria, digitalizzazione), 3ª (Affari esteri e difesa), 4ª (Politiche dell'Unione europea), 5ª (Programmazione economica, bilancio), 8ª (Ambiente, transizione ecologica, energia, lavori pubblici, comunicazioni, innovazione tecnologica), 9ª (Industria, commercio, turismo, agricoltura e produzione agroalimentare), 10ª (Affari sociali, sanità, lavoro pubblico e privato, previdenza sociale) e per le Questioni regionali."", ""Esaminato dalla Commissione 7ª (Cultura e patrimonio culturale, istruzione pubblica, ricerca scientifica, spettacolo e sport), in sede referente, il 9 e il 16 aprile 2024; e l'8 maggio 2024."", 'Esaminato in Aula il 24 settembre 2024 e approvato definitivamente il 2 ottobre 2024.']"
